 2. Defunciones registradas por residencia habitual del fallecido y grupos quinquenales de edad según sexo
,

Consulta de:  2. Defunciones registradas por residencia habitual del fallecido y grupos quinquenales de edad según sexo   Por: Edad, Sexo y Año de registro   Según: Dato
 , , , Defunciones registradas
 1-4 años, Total, 2022,"4,192"
 1-4 años, Total, 2023,"4,249"
 5-9 años, Total, 2000,"3,457"
 5-9 años, Total, 2001,"3,369"
 5-9 años, Total, 2002,"3,297"
 5-9 años, Total, 2003,"3,149"
 5-9 años, Total, 2004,"3,119"
 5-9 años, Total, 2005,"3,176"
 5-9 años, Total, 2006,"2,993"
 5-9 años, Total, 2007,"2,992"
 5-9 años, Total, 2008,"2,897"
 5-9 años, Total, 2009,"3,157"
 5-9 años, Total, 2010,"2,882"
 5-9 años, Total, 2011,"2,840"
 5-9 años, Total, 2012,"2,822"
 5-9 años, Total, 2013,"2,658"
 5-9 años, Total, 2014,"2,648"
 5-9 años, Total, 2015,"2,480"
 5-9 años, Total, 2016,"2,523"
 5-9 años, Total, 2017,"2,572"
 5-9 años, Total, 2018,"2,468"
 5-9 años, Total, 2019,"2,491"
 5-9 años, Total, 2020,"2,289"
 5-9 años, Total, 2021,"2,223"
 5-9 años, Total, 2022,"2,357"
 5-9 años, Total, 2023,"2,532"
 10-14 años, Total, 2000,"3,718"
 10-14 años, Total, 2001,"3,768"
 10-14 años, Total, 2002,"3,761"
 10-14 años, Total, 2003,"3,808"
 10-14 años, Total, 2004,"3,526"
 10-14 años, Total, 2005,"3,644"
 10-14 años, Total, 2006,"3,699"
 10-14 años, Total, 2007,"3,583"
 10-14 años, Total, 2008,"3,691"
 10-14 años, Total, 2009,"3,787"
 10-14 años, Total, 2010,"3,609"
 10-14 años, Total, 2011,"3,457"
 10-14 años, Total, 2012,"3,462"
 10-14 años, Total, 2013,"3,258"
 10-14 años, Total, 2014,"3,368"
 10-14 años, Total, 2015,"3,205"
 10-14 años, Total, 2016,"3,261"
 10-14 años, Total, 2017,"3,396"
 10-14 años, Total, 2018,"3,171"
 10-14 años, Total, 2019,"3,154"
 10-14 años, Total, 2020,"3,129"
 10-14 años, Total, 2021,"3,332"
 10-14 años, Total, 2022,"3,380"
 10-14 años, Total, 2023,"3,311"
 15-19 años, Total, 2000,"7,389"
 15-19 años, Total, 2001,"7,469"
 15-19 años, Total, 2002,"7,643"
 15-19 años, Total, 2003,"7,332"
 15-19 años, Total, 2004,"7,364"
 15-19 años, Total, 2005,"7,498"
 15-19 años, Total, 2006,"7,652"
 15-19 años, Total, 2007,"7,985"
 15-19 años, Total, 2008,"8,496"
 15-19 años, Total, 2009,"9,453"
 15-19 años, Total, 2010,"9,902"
 15-19 años, Total, 2011,"9,984"
 15-19 años, Total, 2012,"9,772"
 15-19 años, Total, 2013,"8,613"
 15-19 años, Total, 2014,"8,178"
 15-19 años, Total, 2015,"8,373"
 15-19 años, Total, 2016,"8,510"
 15-19 años, Total, 2017,"9,284"
 15-19 años, Total, 2018,"9,323"
 15-19 años, Total, 2019,"9,125"
 15-19 años, Total, 2020,"9,462"
 15-19 años, Total, 2021,"9,644"
 15-19 años, Total, 2022,"9,608"
 15-19 años, Total, 2023,"9,382"
 20-24 años, Total, 2000,"9,995"
 20-24 años, Total, 2001,"9,738"
 20-24 años, Total, 2002,"9,863"
 20-24 años, Total, 2003,"9,562"
 20-24 años, Total, 2004,"9,473"
 20-24 años, Total, 2005,"9,825"
 20-24 años, Total, 2006,"9,741"
 20-24 años, Total, 2007,"10,024"
 20-24 años, Total, 2008,"10,938"
 20-24 años, Total, 2009,"12,719"
 20-24 años, Total, 2010,"13,216"
 20-24 años, Total, 2011,"13,385"
 20-24 años, Total, 2012,"13,506"
 20-24 años, Total, 2013,"12,703"
 20-24 años, Total, 2014,"12,325"
 20-24 años, Total, 2015,"12,624"
 20-24 años, Total, 2016,"13,566"
 20-24 años, Total, 2017,"14,534"
 20-24 años, Total, 2018,"14,968"
 20-24 años, Total, 2019,"15,047"
 20-24 años, Total, 2020,"15,992"
 20-24 años, Total, 2021,"16,290"
 20-24 años, Total, 2022,"14,635"
 20-24 años, Total, 2023,"14,409"
 25-29 años, Total, 2000,"11,291"
 25-29 años, Total, 2001,"11,060"
 25-29 años, Total, 2002,"10,929"
 25-29 años, Total, 2003,"11,173"
 25-29 años, Total, 2004,"10,725"
 25-29 años, Total, 2005,"10,909"
 25-29 años, Total, 2006,"10,808"
 25-29 años, Total, 2007,"11,159"
 25-29 años, Total, 2008,"12,102"
 25-29 años, Total, 2009,"13,860"
 25-29 años, Total, 2010,"14,401"
 25-29 años, Total, 2011,"14,355"
 25-29 años, Total, 2012,"13,678"
 25-29 años, Total, 2013,"13,450"
 25-29 años, Total, 2014,"12,808"
 25-29 años, Total, 2015,"13,063"
 25-29 años, Total, 2016,"14,433"
 25-29 años, Total, 2017,"16,111"
 25-29 años, Total, 2018,"17,325"
 25-29 años, Total, 2019,"18,047"
 25-29 años, Total, 2020,"20,417"
 25-29 años, Total, 2021,"21,677"
 25-29 años, Total, 2022,"18,161"
 25-29 años, Total, 2023,"17,362"
 30-34 años, Total, 2000,"12,009"
 30-34 años, Total, 2001,"11,910"
 30-34 años, Total, 2002,"12,105"
 30-34 años, Total, 2003,"12,400"
 30-34 años, Total, 2004,"12,047"
 30-34 años, Total, 2005,"12,539"
 30-34 años, Total, 2006,"12,777"
 30-34 años, Total, 2007,"13,019"
 30-34 años, Total, 2008,"14,017"
 30-34 años, Total, 2009,"15,545"
 30-34 años, Total, 2010,"15,955"
 30-34 años, Total, 2011,"15,462"
 30-34 años, Total, 2012,"15,151"
 30-34 años, Total, 2013,"14,851"
 30-34 años, Total, 2014,"14,507"
 30-34 años, Total, 2015,"14,405"
 30-34 años, Total, 2016,"15,546"
 30-34 años, Total, 2017,"17,058"
 30-34 años, Total, 2018,"17,817"
 30-34 años, Total, 2019,"18,736"
 30-34 años, Total, 2020,"22,892"
 30-34 años, Total, 2021,"25,131"
 30-34 años, Total, 2022,"20,019"
 30-34 años, Total, 2023,"19,997"
 35-39 años, Total, 2000,"13,956"
 35-39 años, Total, 2001,"13,624"
 35-39 años, Total, 2002,"13,664"
 35-39 años, Total, 2003,"13,915"
 35-39 años, Total, 2004,"13,719"
 35-39 años, Total, 2005,"14,062"
 35-39 años, Total, 2006,"14,262"
 35-39 años, Total, 2007,"14,921"
 35-39 años, Total, 2008,"15,950"
 35-39 años, Total, 2009,"18,006"
 35-39 años, Total, 2010,"18,292"
 35-39 años, Total, 2011,"18,213"
 35-39 años, Total, 2012,"17,890"
 35-39 años, Total, 2013,"17,689"
 35-39 años, Total, 2014,"17,366"
 35-39 años, Total, 2015,"17,524"
 35-39 años, Total, 2016,"18,717"
 35-39 años, Total, 2017,"19,580"
 35-39 años, Total, 2018,"20,544"
 35-39 años, Total, 2019,"21,103"
 35-39 años, Total, 2020,"28,243"
 35-39 años, Total, 2021,"31,721"
 35-39 años, Total, 2022,"22,214"
 35-39 años, Total, 2023,"21,700"
 40-44 años, Total, 2000,"15,496"
 40-44 años, Total, 2001,"15,726"
 40-44 años, Total, 2002,"16,199"
 40-44 años, Total, 2003,"16,515"
 40-44 años, Total, 2004,"16,368"
 40-44 años, Total, 2005,"17,048"
 40-44 años, Total, 2006,"16,857"
 40-44 años, Total, 2007,"17,625"
 40-44 años, Total, 2008,"18,555"
 40-44 años, Total, 2009,"19,948"
 40-44 años, Total, 2010,"19,926"
 40-44 años, Total, 2011,"20,136"
 40-44 años, Total, 2012,"20,215"
 40-44 años, Total, 2013,"20,781"
 40-44 años, Total, 2014,"21,587"
 40-44 años, Total, 2015,"21,842"
 40-44 años, Total, 2016,"23,869"
 40-44 años, Total, 2017,"24,760"
 40-44 años, Total, 2018,"25,447"
 40-44 años, Total, 2019,"25,799"
 40-44 años, Total, 2020,"37,923"
 40-44 años, Total, 2021,"40,241"
 40-44 años, Total, 2022,"27,170"
 40-44 años, Total, 2023,"26,237"
 45-49 años, Total, 2000,"18,061"
 45-49 años, Total, 2001,"18,335"
 45-49 años, Total, 2002,"19,233"
 45-49 años, Total, 2003,"19,804"
 45-49 años, Total, 2004,"19,864"
 45-49 años, Total, 2005,"20,839"
 45-49 años, Total, 2006,"21,073"
 45-49 años, Total, 2007,"22,001"
 45-49 años, Total, 2008,"23,015"
 45-49 años, Total, 2009,"24,611"
 45-49 años, Total, 2010,"24,575"
 45-49 años, Total, 2011,"24,450"
 45-49 años, Total, 2012,"25,074"
 45-49 años, Total, 2013,"25,849"
 45-49 años, Total, 2014,"26,433"
 45-49 años, Total, 2015,"26,939"
 45-49 años, Total, 2016,"28,424"
 45-49 años, Total, 2017,"29,847"
 45-49 años, Total, 2018,"31,219"
 45-49 años, Total, 2019,"32,924"
 45-49 años, Total, 2020,"53,719"
 45-49 años, Total, 2021,"56,774"
 45-49 años, Total, 2022,"35,745"
 45-49 años, Total, 2023,"34,552"
 50-54 años, Total, 2000,"21,068"
 50-54 años, Total, 2001,"22,004"
 50-54 años, Total, 2002,"22,739"
 50-54 años, Total, 2003,"23,425"
 50-54 años, Total, 2004,"23,820"
 50-54 años, Total, 2005,"24,758"
 50-54 años, Total, 2006,"25,460"
 50-54 años, Total, 2007,"26,771"
 50-54 años, Total, 2008,"28,557"
 50-54 años, Total, 2009,"30,095"
 50-54 años, Total, 2010,"30,076"
 50-54 años, Total, 2011,"30,631"
 50-54 años, Total, 2012,"31,512"
 50-54 años, Total, 2013,"32,721"
 50-54 años, Total, 2014,"33,858"
 50-54 años, Total, 2015,"34,436"
 50-54 años, Total, 2016,"36,726"
 50-54 años, Total, 2017,"37,341"
 50-54 años, Total, 2018,"38,609"
 50-54 años, Total, 2019,"39,897"
 50-54 años, Total, 2020,"67,948"
 50-54 años, Total, 2021,"68,487"
 50-54 años, Total, 2022,"44,627"
 50-54 años, Total, 2023,"43,270"
 55-59 años, Total, 2000,"25,494"
 55-59 años, Total, 2001,"25,873"
 55-59 años, Total, 2002,"26,853"
 55-59 años, Total, 2003,"27,949"
 55-59 años, Total, 2004,"28,227"
 55-59 años, Total, 2005,"29,706"
 55-59 años, Total, 2006,"30,336"
 55-59 años, Total, 2007,"31,604"
 55-59 años, Total, 2008,"32,764"
 55-59 años, Total, 2009,"34,744"
 55-59 años, Total, 2010,"35,590"
 55-59 años, Total, 2011,"36,041"
 55-59 años, Total, 2012,"38,061"
 55-59 años, Total, 2013,"39,634"
 55-59 años, Total, 2014,"41,431"
 55-59 años, Total, 2015,"42,503"
 55-59 años, Total, 2016,"45,594"
 55-59 años, Total, 2017,"46,361"
 55-59 años, Total, 2018,"48,061"
 55-59 años, Total, 2019,"49,877"
 55-59 años, Total, 2020,"86,433"
 55-59 años, Total, 2021,"87,065"
 55-59 años, Total, 2022,"55,963"
 55-59 años, Total, 2023,"53,333"
 60-64 años, Total, 2000,"30,849"
 60-64 años, Total, 2001,"31,479"
 60-64 años, Total, 2002,"32,478"
 60-64 años, Total, 2003,"33,642"
 60-64 años, Total, 2004,"34,330"
 60-64 años, Total, 2005,"35,371"
 60-64 años, Total, 2006,"35,214"
 60-64 años, Total, 2007,"37,015"
 60-64 años, Total, 2008,"39,110"
 60-64 años, Total, 2009,"40,041"
 60-64 años, Total, 2010,"41,818"
 60-64 años, Total, 2011,"41,784"
 60-64 años, Total, 2012,"43,333"
 60-64 años, Total, 2013,"45,269"
 60-64 años, Total, 2014,"47,060"
 60-64 años, Total, 2015,"49,252"
 60-64 años, Total, 2016,"52,782"
 60-64 años, Total, 2017,"54,032"
 60-64 años, Total, 2018,"56,338"
 60-64 años, Total, 2019,"59,134"
 60-64 años, Total, 2020,"103,472"
 60-64 años, Total, 2021,"103,176"
 60-64 años, Total, 2022,"67,179"
 60-64 años, Total, 2023,"64,494"
 65-69 años, Total, 2000,"35,978"
 65-69 años, Total, 2001,"36,421"
 65-69 años, Total, 2002,"38,237"
 65-69 años, Total, 2003,"39,536"
 65-69 años, Total, 2004,"39,474"
 65-69 años, Total, 2005,"40,938"
 65-69 años, Total, 2006,"41,278"
 65-69 años, Total, 2007,"42,564"
 65-69 años, Total, 2008,"44,040"
 65-69 años, Total, 2009,"45,743"
 65-69 años, Total, 2010,"47,247"
 65-69 años, Total, 2011,"47,288"
 65-69 años, Total, 2012,"49,185"
 65-69 años, Total, 2013,"51,402"
 65-69 años, Total, 2014,"53,174"
 65-69 años, Total, 2015,"55,255"
 65-69 años, Total, 2016,"58,142"
 65-69 años, Total, 2017,"58,738"
 65-69 años, Total, 2018,"60,751"
 65-69 años, Total, 2019,"64,167"
 65-69 años, Total, 2020,"110,158"
 65-69 años, Total, 2021,"112,158"
 65-69 años, Total, 2022,"75,763"
 65-69 años, Total, 2023,"72,848"
 70-74 años, Total, 2000,"39,371"
 70-74 años, Total, 2001,"40,686"
 70-74 años, Total, 2002,"42,516"
 70-74 años, Total, 2003,"44,905"
 70-74 años, Total, 2004,"45,283"
 70-74 años, Total, 2005,"47,028"
 70-74 años, Total, 2006,"46,589"
 70-74 años, Total, 2007,"49,214"
 70-74 años, Total, 2008,"51,676"
 70-74 años, Total, 2009,"52,357"
 70-74 años, Total, 2010,"55,065"
 70-74 años, Total, 2011,"54,287"
 70-74 años, Total, 2012,"55,217"
 70-74 años, Total, 2013,"57,459"
 70-74 años, Total, 2014,"59,169"
 70-74 años, Total, 2015,"61,031"
 70-74 años, Total, 2016,"63,657"
 70-74 años, Total, 2017,"64,484"
 70-74 años, Total, 2018,"66,364"
 70-74 años, Total, 2019,"69,800"
 70-74 años, Total, 2020,"112,359"
 70-74 años, Total, 2021,"114,928"
 70-74 años, Total, 2022,"82,127"
 70-74 años, Total, 2023,"77,672"
 75-79 años, Total, 2000,"40,938"
 75-79 años, Total, 2001,"42,262"
 75-79 años, Total, 2002,"44,183"
 75-79 años, Total, 2003,"45,753"
 75-79 años, Total, 2004,"46,081"
 75-79 años, Total, 2005,"49,394"
 75-79 años, Total, 2006,"50,147"
 75-79 años, Total, 2007,"52,501"
 75-79 años, Total, 2008,"55,691"
 75-79 años, Total, 2009,"57,823"
 75-79 años, Total, 2010,"60,783"
 75-79 años, Total, 2011,"59,467"
 75-79 años, Total, 2012,"61,631"
 75-79 años, Total, 2013,"64,562"
 75-79 años, Total, 2014,"65,378"
 75-79 años, Total, 2015,"68,287"
 75-79 años, Total, 2016,"69,542"
 75-79 años, Total, 2017,"70,194"
 75-79 años, Total, 2018,"71,830"
 75-79 años, Total, 2019,"74,325"
 75-79 años, Total, 2020,"110,616"
 75-79 años, Total, 2021,"114,664"
 75-79 años, Total, 2022,"87,527"
 75-79 años, Total, 2023,"82,230"
 80-84 años, Total, 2000,"34,891"
 80-84 años, Total, 2001,"37,597"
 80-84 años, Total, 2002,"40,747"
 80-84 años, Total, 2003,"44,176"
 80-84 años, Total, 2004,"46,335"
 80-84 años, Total, 2005,"49,602"
 80-84 años, Total, 2006,"49,059"
 80-84 años, Total, 2007,"51,188"
 80-84 años, Total, 2008,"53,836"
 80-84 años, Total, 2009,"54,543"
 80-84 años, Total, 2010,"59,961"
 80-84 años, Total, 2011,"60,355"
 80-84 años, Total, 2012,"61,737"
 80-84 años, Total, 2013,"66,662"
 80-84 años, Total, 2014,"67,810"
 80-84 años, Total, 2015,"70,629"
 80-84 años, Total, 2016,"72,197"
 80-84 años, Total, 2017,"73,392"
 80-84 años, Total, 2018,"74,702"
 80-84 años, Total, 2019,"77,501"
 80-84 años, Total, 2020,"105,994"
 80-84 años, Total, 2021,"109,273"
 80-84 años, Total, 2022,"89,146"
 80-84 años, Total, 2023,"82,200"
 85 años y más, Total, 2000,"65,906"
 85 años y más, Total, 2001,"67,102"
 85 años y más, Total, 2002,"69,633"
 85 años y más, Total, 2003,"72,845"
 85 años y más, Total, 2004,"72,387"
 85 años y más, Total, 2005,"77,712"
 85 años y más, Total, 2006,"77,667"
 85 años y más, Total, 2007,"81,846"
 85 años y más, Total, 2008,"87,132"
 85 años y más, Total, 2009,"90,726"
 85 años y más, Total, 2010,"101,391"
 85 años y más, Total, 2011,"99,761"
 85 años y más, Total, 2012,"101,965"
 85 años y más, Total, 2013,"109,688"
 85 años y más, Total, 2014,"111,848"
 85 años y más, Total, 2015,"119,766"
 85 años y más, Total, 2016,"125,191"
 85 años y más, Total, 2017,"127,429"
 85 años y más, Total, 2018,"130,751"
 85 años y más, Total, 2019,"134,868"
 85 años y más, Total, 2020,"166,846"
 85 años y más, Total, 2021,"176,732"
 85 años y más, Total, 2022,"162,925"
 85 años y más, Total, 2023,"146,256"
 No especificado, Total, 2000,"2,216"
 No especificado, Total, 2001,"2,173"
 No especificado, Total, 2002,"2,209"
 No especificado, Total, 2003,"2,196"
 No especificado, Total, 2004,"1,903"
 No especificado, Total, 2005,"2,119"
 No especificado, Total, 2006,"1,867"
 No especificado, Total, 2007,"1,915"
 No especificado, Total, 2008,"1,787"
 No especificado, Total, 2009,"2,535"
 No especificado, Total, 2010,"2,813"
 No especificado, Total, 2011,"4,065"
 No especificado, Total, 2012,"3,841"
 No especificado, Total, 2013,"3,185"
 No especificado, Total, 2014,"3,165"
 No especificado, Total, 2015,"2,989"
 No especificado, Total, 2016,"3,274"
 No especificado, Total, 2017,"3,566"
 No especificado, Total, 2018,"4,867"
 No especificado, Total, 2019,"4,145"
 No especificado, Total, 2020,"5,612"
 No especificado, Total, 2021,"5,407"
 No especificado, Total, 2022,"5,366"
 No especificado, Total, 2023,"4,490"


Fuente: INEGI. Estadísticas de Defunciones Registradas (EDR).
